model,pk,name,wilaya_id
tools.Commune,1,Timekten,1
tools.Commune,2,Bouda,1
tools.Commune,3,Ouled Ahmed Timmi,1
tools.Commune,4,Adrar,1
tools.Commune,5,Fenoughil,1
tools.Commune,6,In Zghmir,1
tools.Commune,7,Reggane,1
tools.Commune,8,Sali,1
tools.Commune,9,Sebaa,1
tools.Commune,10,Tsabit,1
tools.Commune,11,Tamest,1
tools.Commune,12,Tamantit,1
tools.Commune,13,Tit,1
tools.Commune,14,Zaouiet Kounta,1
tools.Commune,15,Akabli,1
tools.Commune,16,Aoulef,1
tools.Commune,17,Talassa,2
tools.Commune,18,Zeboudja,2
tools.Commune,19,El Hadjadj,2
tools.Commune,20,Ouled Ben Abdelkader,2
tools.Commune,21,Ain Merane,2
tools.Commune,22,Breira,2
tools.Commune,23,Ouled Abbes,2
tools.Commune,24,Oued Fodda,2
tools.Commune,25,Beni Rached,2
tools.Commune,26,Herenfa,2
tools.Commune,27,Tadjena,2
tools.Commune,28,El Marsa,2
tools.Commune,29,Chlef,2
tools.Commune,30,Oum Drou,2
tools.Commune,31,Sendjas,2
tools.Commune,32,Sidi Abderrahmane,2
tools.Commune,33,Sidi Akkacha,2
tools.Commune,34,Tenes,2
tools.Commune,35,Beni Bouattab,2
tools.Commune,36,El Karimia,2
tools.Commune,37,Harchoun,2
tools.Commune,38,Bouzeghaia,2
tools.Commune,39,Taougrit,2
tools.Commune,40,Beni Haoua,2
tools.Commune,41,Abou El Hassane,2
tools.Commune,42,Oued Goussine,2
tools.Commune,43,Chettia,2
tools.Commune,44,Moussadek,2
tools.Commune,45,Ouled Fares,2
tools.Commune,46,Boukadir,2
tools.Commune,47,Oued Sly,2
tools.Commune,48,Sobha,2
tools.Commune,49,Benairia,2
tools.Commune,50,Labiod Medjadja,2
tools.Commune,51,Dahra,2
tools.Commune,52,El Beidha,3
tools.Commune,53,Gueltat Sidi Saad,3
tools.Commune,54,Brida,3
tools.Commune,55,Ain Sidi Ali,3
tools.Commune,56,Tadjemout,3
tools.Commune,57,Hadj Mechri,3
tools.Commune,58,Taouiala,3
tools.Commune,59,El Ghicha,3
tools.Commune,60,Tadjrouna,3
tools.Commune,61,Sebgag,3
tools.Commune,62,Sidi Bouzid,3
tools.Commune,63,Oued Morra,3
tools.Commune,64,Laghouat,3
tools.Commune,65,Oued M'zi,3
tools.Commune,66,Ksar El Hirane,3
tools.Commune,67,El Assafia,3
tools.Commune,68,Sidi Makhlouf,3
tools.Commune,69,Hassi Delaa,3
tools.Commune,70,Hassi R'mel,3
tools.Commune,71,Ain Madhi,3
tools.Commune,72,El Haouaita,3
tools.Commune,73,Kheneg,3
tools.Commune,74,Benacer Benchohra,3
tools.Commune,75,Aflou,3
tools.Commune,76,Fkirina,4
tools.Commune,77,El Fedjoudj Boughrara Sa,4
tools.Commune,78,Ain Fekroun,4
tools.Commune,79,Rahia,4
